# form	lemma	pos	features
красивый	красивый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
красивого	красивый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
красивыйому	красивый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
красивыйым	красивый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
красивыйом	красивый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
красивая	красивый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
красиваой	красивый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
красивую	красивый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
красивое	красивый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
красивые	красивый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
красивых	красивый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
красивыйым	красивый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
новый	новый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
нового	новый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
новому	новый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
новая	новый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
новую	новый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
новое	новый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
новые	новый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
новых	новый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
маленький	маленький	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
маленького	маленький	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
маленькийому	маленький	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
маленькийым	маленький	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
маленькийом	маленький	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
маленькая	маленький	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
маленькаой	маленький	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
маленькую	маленький	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
маленькое	маленький	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
маленькие	маленький	ADJ	number=plur|case=nom|adj_form=full|degree=pos
маленьких	маленький	ADJ	number=plur|case=gen|adj_form=full|degree=pos
маленькийым	маленький	ADJ	number=plur|case=dat|adj_form=full|degree=pos
большой	большой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
большого	большой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
большойому	большой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
большойым	большой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
большойом	большой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
большая	большой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
большаой	большой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
большую	большой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
большое	большой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
большие	большой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
больших	большой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
большойым	большой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
хороший	хороший	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
хорошего	хороший	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
хорошийому	хороший	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
хорошийым	хороший	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
хорошийом	хороший	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
хорошая	хороший	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
хорошаой	хороший	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
хорошую	хороший	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
хорошее	хороший	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
хорошие	хороший	ADJ	number=plur|case=nom|adj_form=full|degree=pos
хороших	хороший	ADJ	number=plur|case=gen|adj_form=full|degree=pos
хорошийым	хороший	ADJ	number=plur|case=dat|adj_form=full|degree=pos
важный	важный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
важного	важный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
важному	важный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
важныйому	важный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
важныйым	важный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
важныйом	важный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
важная	важный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
важнаой	важный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
важную	важный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
важное	важный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
важные	важный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
важных	важный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
важныйым	важный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
быстрый	быстрый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
быстрого	быстрый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
быстрыйому	быстрый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
быстрыйым	быстрый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
быстрыйом	быстрый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
быстрая	быстрый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
быстраой	быстрый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
быструю	быстрый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
быстрое	быстрый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
быстрые	быстрый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
быстрых	быстрый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
быстрыйым	быстрый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
точный	точный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
точного	точный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
точныйому	точный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
точныйым	точный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
точныйом	точный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
точная	точный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
точнаой	точный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
точную	точный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
точное	точный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
точные	точный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
точных	точный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
точныйым	точный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
